regime,n_pickers,orders_completed,mean_cycle_s,p95_cycle_s,makespan_s,sim_travel_m,utilization_pct,cycle_reduction_pct
legacy,1,101,662.75,1274.67,28521.97,20795.3,81.14,0.00
legacy,2,101,247.74,442.31,28521.97,20795.3,40.57,62.62
legacy,3,101,231.59,414.35,28521.97,20795.3,27.05,65.06
legacy,4,101,229.14,414.35,28521.97,20795.3,20.29,65.43
legacy,5,101,229.14,414.35,28521.97,20795.3,16.23,65.43
legacy,6,101,229.14,414.35,28521.97,20795.3,13.52,65.43
legacy,7,101,229.14,414.35,28521.97,20795.3,11.59,65.43
legacy,8,101,229.14,414.35,28521.97,20795.3,10.14,65.43
modern,1,101,158.00,338.46,28330.91,6814.6,40.57,0.00
modern,2,101,118.69,202.62,28330.91,6966.1,20.51,24.88
modern,3,101,115.77,201.62,28330.91,6991.4,13.70,26.73
modern,4,101,115.25,201.62,28330.91,6991.4,10.27,27.06
modern,5,101,115.25,201.62,28330.91,6991.4,8.22,27.06
modern,6,101,115.25,201.62,28330.91,6991.4,6.85,27.06
modern,7,101,115.25,201.62,28330.91,6991.4,5.87,27.06
modern,8,101,115.25,201.62,28330.91,6991.4,5.14,27.06
