promote_fraction,n_promoted,n_moves,total_travel_unit_m_day,avg_travel_m_per_pick,travel_reduction_pct,golden_zone_occupancy_pct,mean_cycle_s,sim_travel_m
0.0,0,0,29423.92,33.8206,0.00,25.00,244.18,11280.8
0.1,6,0,29423.92,33.8206,0.00,25.00,244.18,11280.8
0.2,12,0,29423.92,33.8206,0.00,25.00,244.18,11280.8
0.3,18,6,25691.80,29.5308,12.68,50.00,211.58,10313.7
0.4,24,16,23230.60,26.7018,21.05,50.00,194.41,9233.2
0.5,30,16,23230.60,26.7018,21.05,50.00,191.82,9263.6
0.6,36,24,17876.58,20.5478,39.24,100.00,162.64,7233.3
0.7,42,33,16563.52,19.0385,43.71,100.00,154.05,6789.1
0.8,48,36,16423.48,18.8776,44.18,100.00,156.36,6832.3
0.9,54,36,16423.48,18.8776,44.18,100.00,154.76,6774.9
1.0,60,36,16423.48,18.8776,44.18,100.00,158.00,6814.6
